time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/11:58:28.027153,0,57508,0,GPS1_Frame,42.328086853027344,-71.10169219970703,56.099998474121094,326836.40625,4688343.5,4,19,T
2022/10/06/11:58:29.035702,0,57509,0,GPS1_Frame,42.32808303833008,-71.10167694091797,56.099998474121094,326837.5,4688343.0,4,19,T
2022/10/06/11:58:30.039310,0,57510,0,GPS1_Frame,42.32807922363281,-71.1016616821289,56.099998474121094,326838.59375,4688342.5,4,19,T
2022/10/06/11:58:31.040817,0,57511,0,GPS1_Frame,42.32807540893555,-71.10164642333984,56.0,326839.59375,4688342.0,4,19,T
2022/10/06/11:58:32.035565,0,57512,0,GPS1_Frame,42.32807540893555,-71.10163879394531,56.0,326840.4375,4688342.0,4,19,T
2022/10/06/11:58:33.040017,0,57513,0,GPS1_Frame,42.32807922363281,-71.10163116455078,56.0,326840.9375,4688342.5,4,19,T
2022/10/06/11:58:34.029712,0,57514,0,GPS1_Frame,42.328086853027344,-71.10163116455078,56.0,326841.3125,4688343.0,4,19,T
2022/10/06/11:58:35.037986,0,57515,0,GPS1_Frame,42.328094482421875,-71.10162353515625,56.099998474121094,326841.65625,4688344.0,4,19,T
2022/10/06/11:58:36.046688,0,57516,0,GPS1_Frame,42.32809829711914,-71.10162353515625,56.099998474121094,326841.9375,4688345.0,4,19,T
2022/10/06/11:58:37.028925,0,57517,0,GPS1_Frame,42.32810592651367,-71.10161590576172,56.099998474121094,326842.28125,4688345.5,4,19,T
2022/10/06/11:58:38.038033,0,57518,0,GPS1_Frame,42.32811737060547,-71.10161590576172,56.0,326842.71875,4688346.5,4,19,T
2022/10/06/11:58:39.036308,0,57519,0,GPS1_Frame,42.328125,-71.10160827636719,56.099998474121094,326843.125,4688347.5,4,19,T
2022/10/06/11:58:40.034593,0,57520,0,GPS1_Frame,42.32813262939453,-71.10160064697266,56.099998474121094,326843.59375,4688348.5,4,19,T
2022/10/06/11:58:41.041215,0,57521,0,GPS1_Frame,42.32814407348633,-71.10160064697266,56.099998474121094,326844.0,4688349.5,4,19,T
2022/10/06/11:58:42.038828,0,57522,0,GPS1_Frame,42.32815170288086,-71.10159301757812,56.099998474121094,326844.4375,4688350.5,4,19,T
2022/10/06/11:58:43.040070,0,57523,0,GPS1_Frame,42.32815933227539,-71.1015853881836,56.099998474121094,326844.84375,4688351.5,4,19,T
