time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2022/09/23/15:29:16.316563,0,70156,0,GPS1_Frame,42.3329716666667,-71.091965,16.8,327650.94522656,4688866.14982443,19,T
2022/09/23/15:29:17.312700,0,70157,0,GPS1_Frame,42.3329666666667,-71.091975,16.9,327650.107671977,4688865.61488016,19,T
2022/09/23/15:29:18.314101,0,70158,0,GPS1_Frame,42.3329616666667,-71.0919866666667,16.8,327649.132801135,4688865.08331391,19,T
2022/09/23/15:29:19.312846,0,70159,0,GPS1_Frame,42.3329583333333,-71.0919983333333,16.8,327648.162482822,4688864.73681834,19,T
2022/09/23/15:29:20.309396,0,70160,0,GPS1_Frame,42.332955,-71.09201,16.9,327647.192164412,4688864.3903229,19,T
2022/09/23/15:29:21.311758,0,70161,0,GPS1_Frame,42.3329516666667,-71.09202,17,327646.359162054,4688864.04044961,19,T
2022/09/23/15:29:22.309485,0,70162,0,GPS1_Frame,42.332945,-71.0920316666667,16.9,327645.379737931,4688863.32381333,19,T
2022/09/23/15:29:23.308028,0,70163,0,GPS1_Frame,42.33294,-71.0920416666667,16.9,327644.542182568,4688862.7888697,19,T
2022/09/23/15:29:24.344707,0,70164,0,GPS1_Frame,42.332935,-71.0920533333333,16.9,327643.567310884,4688862.2573042,19,T
2022/09/23/15:29:25.359917,0,70165,0,GPS1_Frame,42.3329283333333,-71.092065,16.9,327642.587886219,4688861.54066829,19,T
2022/09/23/15:29:26.348738,0,70166,0,GPS1_Frame,42.3329183333333,-71.0920766666667,17.2,327641.599355647,4688860.45389142,19,T
2022/09/23/15:29:27.344264,0,70167,0,GPS1_Frame,42.33291,-71.0920883333333,17.4,327640.615377648,4688859.55218523,19,T
2022/09/23/15:29:28.344728,0,70168,0,GPS1_Frame,42.3329033333333,-71.0920983333333,17.6,327639.773268566,4688858.83217161,19,T
2022/09/23/15:29:29.313835,0,70169,0,GPS1_Frame,42.332895,-71.09211,17.7,327638.78929011,4688857.93046566,19,T
2022/09/23/15:29:30.314193,0,70170,0,GPS1_Frame,42.3328883333333,-71.09212,17.7,327637.947180648,4688857.21045225,19,T
2022/09/23/15:29:31.310844,0,70171,0,GPS1_Frame,42.3328833333333,-71.0921316666667,17.8,327636.972307673,4688856.67888763,19,T
2022/09/23/15:29:32.347150,0,70172,0,GPS1_Frame,42.3328766666667,-71.0921433333333,18,327635.992881551,4688855.96225261,19,T
2022/09/23/15:29:33.312099,0,70173,0,GPS1_Frame,42.33287,-71.092155,18.1,327635.013455227,4688855.24561771,19,T
2022/09/23/15:29:34.312946,0,70174,0,GPS1_Frame,42.3328633333333,-71.0921666666667,18.1,327634.034028704,4688854.52898295,19,T
2022/09/23/15:29:35.347566,0,70175,0,GPS1_Frame,42.3328583333333,-71.0921766666667,18.2,327633.196471406,4688853.99404063,19,T
2022/09/23/15:29:36.377811,0,70176,0,GPS1_Frame,42.3328516666667,-71.0921883333333,18.3,327632.217044517,4688853.27740611,19,T
2022/09/23/15:29:37.311022,0,70177,0,GPS1_Frame,42.3328466666667,-71.0922,18.4,327631.242170542,4688852.74584227,19,T
2022/09/23/15:29:38.309588,0,70178,0,GPS1_Frame,42.3328383333333,-71.0922116666667,18.6,327630.258190136,4688851.84413747,19,T
2022/09/23/15:29:39.313490,0,70179,0,GPS1_Frame,42.3328333333333,-71.0922216666667,18.6,327629.420632222,4688851.30919559,19,T
2022/09/23/15:29:40.314368,0,70180,0,GPS1_Frame,42.3328266666667,-71.0922333333333,18.7,327628.441204565,4688850.59256158,19,T
2022/09/23/15:29:41.313039,0,70181,0,GPS1_Frame,42.33282,-71.0922433333333,18.7,327627.599093153,4688849.87254936,19,T
2022/09/23/15:29:42.385904,0,70182,0,GPS1_Frame,42.3328133333333,-71.0922533333333,18.6,327626.756981568,4688849.15253724,19,T
2022/09/23/15:29:43.348570,0,70183,0,GPS1_Frame,42.332805,-71.0922633333333,18.6,327625.910316561,4688848.24745467,19,T
2022/09/23/15:29:44.315039,0,70184,0,GPS1_Frame,42.3327983333333,-71.0922733333333,18.6,327625.068204606,4688847.52744275,19,T
2022/09/23/15:29:45.318147,0,70185,0,GPS1_Frame,42.33279,-71.0922833333333,18.6,327624.22153919,4688846.62236038,19,T
2022/09/23/15:29:46.308805,0,70186,0,GPS1_Frame,42.332785,-71.0922933333333,18.5,327623.383980187,4688846.08741919,19,T
2022/09/23/15:29:47.315892,0,70187,0,GPS1_Frame,42.3327816666667,-71.0923033333333,18.5,327622.55097439,4688845.73754864,19,T
2022/09/23/15:29:48.317776,0,70188,0,GPS1_Frame,42.3327783333333,-71.092315,18.5,327621.580651968,4688845.39105664,19,T
2022/09/23/15:29:49.315379,0,70189,0,GPS1_Frame,42.332775,-71.092325,18.4,327620.747645987,4688845.04118631,19,T
2022/09/23/15:29:50.316892,0,70190,0,GPS1_Frame,42.33277,-71.0923366666667,18.5,327619.772769963,4688844.50962401,19,T
2022/09/23/15:29:51.317001,0,70191,0,GPS1_Frame,42.3327633333333,-71.0923483333333,18.6,327618.793340354,4688843.79299129,19,T
2022/09/23/15:29:52.318319,0,70192,0,GPS1_Frame,42.3327583333333,-71.0923583333333,18.6,327617.955780579,4688843.25805074,19,T
2022/09/23/15:29:53.316638,0,70193,0,GPS1_Frame,42.33275,-71.09237,18.5,327616.971797131,4688842.35634772,19,T
2022/09/23/15:29:54.353304,0,70194,0,GPS1_Frame,42.3327433333333,-71.09238,18.5,327616.129683544,4688841.63633683,19,T
2022/09/23/15:29:55.316347,0,70195,0,GPS1_Frame,42.3327366666667,-71.09239,18.6,327615.287569786,4688840.91632603,19,T
2022/09/23/15:29:56.318701,0,70196,0,GPS1_Frame,42.3327283333333,-71.0923983333333,18.6,327614.578218962,4688840.0078662,19,T
2022/09/23/15:29:57.347522,0,70197,0,GPS1_Frame,42.3327216666667,-71.09241,18.7,327613.598788189,4688839.29123419,19,T
